Characteristic,Outcome,Group A,N_A,Mean_A,Group B,N_B,Mean_B,Diff (A−B),t,p,Significant (p<0.05),q (BH-FDR),Significant (FDR<0.05)
Adherent vs not adherent,Age (years),Adherent (≥80%),7826,60.52,Not adherent (<80%),20859,58.43,2.09,9.169,0.0,True,0.0,True
Adherent vs not adherent,Family income ($),Adherent (≥80%),7826,78384.1,Not adherent (<80%),20865,76957.88,1426.22,1.406,0.1596,False,0.227,False
Adherent vs not adherent,Patient cost share (0–1),Adherent (≥80%),7826,0.4,Not adherent (<80%),20865,0.37,0.02,4.328,0.0,True,0.0,True
Adherent vs not adherent,Number of medications,Adherent (≥80%),7826,2.51,Not adherent (<80%),20865,2.61,-0.1,-3.928,0.0001,True,0.0003,True
Adherent vs not adherent,Number of conditions,Adherent (≥80%),7826,1.96,Not adherent (<80%),20865,1.99,-0.04,-2.408,0.016,True,0.0287,True
Adherent vs not adherent,Dosing frequency (per day),Adherent (≥80%),7823,1.42,Not adherent (<80%),20856,1.43,-0.01,-1.248,0.2121,False,0.2929,False
Adherent vs not adherent,Medication dose,Adherent (≥80%),7717,421.1,Not adherent (<80%),20508,408.05,13.05,0.436,0.663,False,0.7519,False
Adherent vs not adherent,Years of education,Adherent (≥80%),7777,13.18,Not adherent (<80%),20683,12.94,0.24,5.334,0.0,True,0.0,True
Sex,Adherence ratio (%),Female,16088,59.81,All other person-years,12603,61.16,-1.34,-4.194,0.0,True,0.0,True
Sex,% adherent (≥80%),Female,16088,26.45,All other person-years,12603,28.33,-1.87,-3.525,0.0004,True,0.001,True
Sex,Adherence ratio (%),Male,12603,61.16,All other person-years,16088,59.81,1.34,4.194,0.0,True,0.0,True
Sex,% adherent (≥80%),Male,12603,28.33,All other person-years,16088,26.45,1.87,3.525,0.0004,True,0.001,True
Sex,Adherence ratio (%),Female,16088,59.81,Male,12603,61.16,-1.34,-4.194,0.0,True,0.0,True
Sex,% adherent (≥80%),Female,16088,26.45,Male,12603,28.33,-1.87,-3.525,0.0004,True,0.001,True
Age group,Adherence ratio (%),Under 30,2328,49.05,All other person-years,26357,61.41,-12.36,-19.455,0.0,True,0.0,True
Age group,% adherent (≥80%),Under 30,2328,19.93,All other person-years,26357,27.93,-8.0,-9.164,0.0,True,0.0,True
Age group,Adherence ratio (%),30–60,10581,58.36,All other person-years,18104,61.6,-3.24,-9.69,0.0,True,0.0,True
Age group,% adherent (≥80%),30–60,10581,26.34,All other person-years,18104,27.83,-1.49,-2.754,0.0059,True,0.0116,True
Age group,Adherence ratio (%),Above 60,15776,63.45,All other person-years,12909,56.68,6.77,21.081,0.0,True,0.0,True
Age group,% adherent (≥80%),Above 60,15776,29.0,All other person-years,12909,25.18,3.82,7.257,0.0,True,0.0,True
Age group,Adherence ratio (%),Under 30,2328,49.05,30–60,10581,58.36,-9.31,-13.876,0.0,True,0.0,True
Age group,% adherent (≥80%),Under 30,2328,19.93,30–60,10581,26.34,-6.41,-6.874,0.0,True,0.0,True
Age group,Adherence ratio (%),Under 30,2328,49.05,Above 60,15776,63.45,-14.41,-22.29,0.0,True,0.0,True
Age group,% adherent (≥80%),Under 30,2328,19.93,Above 60,15776,29.0,-9.07,-10.037,0.0,True,0.0,True
Age group,Adherence ratio (%),30–60,10581,58.36,Above 60,15776,63.45,-5.09,-15.079,0.0,True,0.0,True
Age group,% adherent (≥80%),30–60,10581,26.34,Above 60,15776,29.0,-2.66,-4.748,0.0,True,0.0,True
Race,Adherence ratio (%),Hispanic,4130,56.54,All other person-years,24561,61.05,-4.52,-9.606,0.0,True,0.0,True
Race,% adherent (≥80%),Hispanic,4130,24.26,All other person-years,24561,27.78,-3.52,-4.853,0.0,True,0.0,True
Race,Adherence ratio (%),White only,18881,62.15,All other person-years,9810,57.05,5.1,15.063,0.0,True,0.0,True
Race,% adherent (≥80%),White only,18881,29.01,All other person-years,9810,23.94,5.06,9.326,0.0,True,0.0,True
Race,Adherence ratio (%),Black only,3923,56.52,All other person-years,24768,61.02,-4.49,-9.698,0.0,True,0.0,True
Race,% adherent (≥80%),Black only,3923,22.36,All other person-years,24768,28.06,-5.7,-7.875,0.0,True,0.0,True
Race,Adherence ratio (%),Asian only,906,61.22,All other person-years,27785,60.38,0.85,0.92,0.3576,False,0.4628,False
Race,% adherent (≥80%),Asian only,906,28.15,All other person-years,27785,27.25,0.9,0.591,0.5548,False,0.6586,False
Race,Adherence ratio (%),Other / multiple,851,57.49,All other person-years,27840,60.49,-3.01,-3.143,0.0017,True,0.0037,True
Race,% adherent (≥80%),Other / multiple,851,25.26,All other person-years,27840,27.34,-2.07,-1.37,0.1711,False,0.2413,False
Race,Adherence ratio (%),Hispanic,4130,56.54,White only,18881,62.15,-5.61,-11.72,0.0,True,0.0,True
Race,% adherent (≥80%),Hispanic,4130,24.26,White only,18881,29.01,-4.75,-6.376,0.0,True,0.0,True
Race,Adherence ratio (%),Hispanic,4130,56.54,Black only,3923,56.52,0.01,0.021,0.9832,False,0.9862,False
Race,% adherent (≥80%),Hispanic,4130,24.26,Black only,3923,22.36,1.91,2.023,0.0431,True,0.069,False
Race,Adherence ratio (%),Hispanic,4130,56.54,Asian only,906,61.22,-4.69,-4.657,0.0,True,0.0,True
Race,% adherent (≥80%),Hispanic,4130,24.26,Asian only,906,28.15,-3.88,-2.373,0.0178,True,0.0318,True
Race,Adherence ratio (%),Hispanic,4130,56.54,Other / multiple,851,57.49,-0.95,-0.914,0.3609,False,0.4651,False
Race,% adherent (≥80%),Hispanic,4130,24.26,Other / multiple,851,25.26,-1.0,-0.614,0.5392,False,0.6447,False
Race,Adherence ratio (%),White only,18881,62.15,Black only,3923,56.52,5.62,11.919,0.0,True,0.0,True
Race,% adherent (≥80%),White only,18881,29.01,Black only,3923,22.36,6.65,8.957,0.0,True,0.0,True
Race,Adherence ratio (%),White only,18881,62.15,Asian only,906,61.22,0.92,0.997,0.3188,False,0.4191,False
Race,% adherent (≥80%),White only,18881,29.01,Asian only,906,28.15,0.86,0.563,0.5734,False,0.6686,False
Race,Adherence ratio (%),White only,18881,62.15,Other / multiple,851,57.49,4.66,4.844,0.0,True,0.0,True
Race,% adherent (≥80%),White only,18881,29.01,Other / multiple,851,25.26,3.74,2.452,0.0144,True,0.0264,True
Race,Adherence ratio (%),Black only,3923,56.52,Asian only,906,61.22,-4.7,-4.685,0.0,True,0.0,True
Race,% adherent (≥80%),Black only,3923,22.36,Asian only,906,28.15,-5.79,-3.539,0.0004,True,0.001,True
Race,Adherence ratio (%),Black only,3923,56.52,Other / multiple,851,57.49,-0.96,-0.929,0.3529,False,0.4585,False
Race,% adherent (≥80%),Black only,3923,22.36,Other / multiple,851,25.26,-2.91,-1.782,0.0749,False,0.1139,False
