Characteristic,Level,N (person-years),% adherent (≥80%),All others,Gap (pp),q (BH-FDR)
Age group,Under 30,2328,19.93,27.93,-8.0,0.0
Insurance,Uninsured,740,21.22,27.44,-6.22,0.0003
Delayed meds (cost),No delay,27296,27.56,21.72,5.84,0.0
Delayed meds (cost),Delayed meds for cost,1395,21.72,27.56,-5.84,0.0
Race,Black only,3923,22.36,28.06,-5.7,0.0
Race,White only,18881,29.01,23.94,5.06,0.0
Cost share,50–75% OOP,2297,31.21,26.93,4.28,0.0
Region,Midwest,6588,30.4,26.34,4.06,0.0
Age group,Above 60,15776,29.0,25.18,3.82,0.0
Region,South,11012,25.09,28.64,-3.55,0.0
Race,Hispanic,4130,24.26,27.78,-3.52,0.0
Delayed care (cost),No delay,26648,27.52,24.13,3.39,0.0014
Delayed care (cost),Delayed care for cost,2043,24.13,27.52,-3.39,0.0014
Education,Less than high school,5023,24.61,27.91,-3.3,0.0
Income group,Poor,4603,24.51,27.81,-3.3,0.0
Marital status,Never married,4581,24.93,28.1,-3.17,0.0
Survey year,2020,7718,29.49,26.46,3.03,0.0
# meds,1 med,11185,28.75,26.33,2.42,0.0
Survey year,2023,5826,25.39,27.76,-2.37,0.0005
# conditions,2 conditions,7548,25.6,27.88,-2.28,0.0003
Education,College (16 yrs),5024,29.04,26.96,2.08,0.0064
Region,Northeast,4001,28.99,27.0,1.99,0.0185
Cost share,≤5% OOP,9482,25.94,27.93,-1.99,0.0007
Sex,Female,16088,26.45,28.33,-1.87,0.001
Sex,Male,12603,28.33,26.45,1.87,0.001
Dose quartile,Q1 (lowest),7058,28.63,26.91,1.72,0.0105
# meds,2 meds,6412,25.97,27.65,-1.69,0.0133
# conditions,1 condition,13633,28.15,26.48,1.67,0.0035
Cost share,5–25% OOP,5993,26.08,27.59,-1.51,0.0321
Age group,30–60,10581,26.34,27.83,-1.49,0.0116
Cost share,>75% OOP,7634,28.35,26.89,1.46,0.0272
Marital status,Married,13665,28.22,26.97,1.25,0.0333
Dosing frequency,2x_daily,13143,26.62,27.83,-1.21,0.0369
Dosing frequency,1x_daily,13263,27.9,26.74,1.17,0.0451
